ticker,feature,coef_std,odds_ratio_1sd,abs_coef_std
SPY,amp_z,1.0782064735022296,2.9394029235633274,1.0782064735022296
SPY,d_causal_theta_so_far,0.6172776686455016,1.8538743058453937,0.6172776686455016
SPY,d_amp_z,0.5106847923337842,1.6664319641401235,0.5106847923337842
SPY,sigma_local,-0.4288459510051963,0.6512602474403444,0.4288459510051963
SPY,d_viscosity,0.38235001244183153,1.4657250173537713,0.38235001244183153
SPY,theta,-0.29559755948570043,0.7440868184546211,0.29559755948570043
SPY,d_sigma_local,-0.24524722786675543,0.7825110557866917,0.24524722786675543
SPY,d_theta,-0.20690154598658692,0.8130996989756034,0.20690154598658692
SPY,causal_current_sign,-0.13136389696352327,0.876898615580577,0.13136389696352327
SPY,viscosity,-0.1132336429729309,0.8929420061167304,0.1132336429729309
SPY,causal_run_length,-0.10760200659990594,0.8979849173905318,0.10760200659990594
SPY,causal_theta_so_far,-0.08237096254530402,0.9209302646873916,0.08237096254530402
QQQ,viscosity,-1.0507302199927755,0.3496823108449424,1.0507302199927755
QQQ,d_amp_z,0.987331739850397,2.6840631304111753,0.987331739850397
QQQ,amp_z,0.6247858873329488,1.8678459851286653,0.6247858873329488
QQQ,d_causal_theta_so_far,0.5085132813002707,1.6628172148977591,0.5085132813002707
QQQ,d_viscosity,0.4833536466700057,1.6215032428488274,0.4833536466700057
QQQ,sigma_local,-0.36007363658869074,0.6976249534578441,0.36007363658869074
QQQ,causal_current_sign,-0.2747463288234101,0.7597648292201167,0.2747463288234101
QQQ,d_sigma_local,-0.2389886037217764,0.7874238560228979,0.2389886037217764
QQQ,theta,-0.18618843016333833,0.8301171611317056,0.18618843016333833
QQQ,d_theta,-0.1316119869360942,0.8766810928108147,0.1316119869360942
QQQ,causal_theta_so_far,-0.10313771986607358,0.902002741230368,0.10313771986607358
QQQ,causal_run_length,-0.013065067011997597,0.9870199104945032,0.013065067011997597
DIA,amp_z,1.5062156255685224,4.509632323951389,1.5062156255685224
DIA,d_causal_theta_so_far,0.31992642767584667,1.3770264495727058,0.31992642767584667
DIA,theta,-0.2668058136394224,0.7658217691695798,0.2668058136394224
DIA,d_theta,-0.23755029779393766,0.7885572272946605,0.23755029779393766
DIA,d_amp_z,-0.20886624943185367,0.8115037674751052,0.20886624943185367
DIA,sigma_local,-0.19813478321126035,0.8202592885058994,0.19813478321126035
DIA,viscosity,-0.15667976521647325,0.8549778086167044,0.15667976521647325
DIA,d_viscosity,0.10558951686253848,1.111365586030544,0.10558951686253848
DIA,causal_current_sign,-0.08763149813817017,0.9160983984962705,0.08763149813817017
DIA,causal_theta_so_far,-0.05699204471912097,0.9446015839075519,0.05699204471912097
DIA,causal_run_length,0.048972832972873276,1.0501918197628233,0.048972832972873276
DIA,d_sigma_local,-0.021339554063457826,0.9788865232351222,0.021339554063457826
