Date,continue_next,change_next,next_segment_completed_by,next_segment_same_direction,next_segment_opp_direction,next_segment_theta,next_segment_amp,next_segment_length,next_segment_net_return
2016-06-10 00:00:00+00:00,False,True,104.0,0.0,1.0,-0.0005506818799052624,0.04641086460363952,5.0,0.011192073196216734
2016-06-13 00:00:00+00:00,True,False,,,,,,,
2016-06-14 00:00:00+00:00,True,False,,,,,,,
2016-06-15 00:00:00+00:00,True,False,,,,,,,
2016-06-16 00:00:00+00:00,True,False,,,,,,,
2016-06-17 00:00:00+00:00,False,True,108.0,1.0,0.0,0.019025261860443704,0.05111069314857261,4.0,0.037185083760989196
2016-06-20 00:00:00+00:00,True,False,,,,,,,
2016-06-21 00:00:00+00:00,True,False,,,,,,,
2016-06-22 00:00:00+00:00,True,False,,,,,,,
2016-06-23 00:00:00+00:00,False,True,127.0,1.0,0.0,0.00016052515657821248,0.30815496305252593,19.0,0.09307674704379282
2016-06-24 00:00:00+00:00,True,False,,,,,,,
2016-06-27 00:00:00+00:00,True,False,,,,,,,
2016-06-28 00:00:00+00:00,True,False,,,,,,,
2016-06-29 00:00:00+00:00,True,False,,,,,,,
2016-06-30 00:00:00+00:00,True,False,,,,,,,
2016-07-01 00:00:00+00:00,True,False,,,,,,,
2016-07-05 00:00:00+00:00,True,False,,,,,,,
2016-07-06 00:00:00+00:00,True,False,,,,,,,
2016-07-07 00:00:00+00:00,True,False,,,,,,,
2016-07-08 00:00:00+00:00,True,False,,,,,,,
2016-07-11 00:00:00+00:00,True,False,,,,,,,
2016-07-12 00:00:00+00:00,True,False,,,,,,,
2016-07-13 00:00:00+00:00,True,False,,,,,,,
2016-07-14 00:00:00+00:00,True,False,,,,,,,
2016-07-15 00:00:00+00:00,True,False,,,,,,,
2016-07-18 00:00:00+00:00,True,False,,,,,,,
2016-07-19 00:00:00+00:00,True,False,,,,,,,
2016-07-20 00:00:00+00:00,True,False,,,,,,,
2016-07-21 00:00:00+00:00,False,True,142.0,1.0,0.0,0.012928002877618937,0.18555564361275717,15.0,0.11489806578570044
2016-07-22 00:00:00+00:00,True,False,,,,,,,
2016-07-25 00:00:00+00:00,True,False,,,,,,,
2016-07-26 00:00:00+00:00,True,False,,,,,,,
2016-07-27 00:00:00+00:00,True,False,,,,,,,
2016-07-28 00:00:00+00:00,True,False,,,,,,,
2016-07-29 00:00:00+00:00,True,False,,,,,,,
2016-08-01 00:00:00+00:00,True,False,,,,,,,
2016-08-02 00:00:00+00:00,True,False,,,,,,,
2016-08-03 00:00:00+00:00,True,False,,,,,,,
2016-08-04 00:00:00+00:00,True,False,,,,,,,
2016-08-05 00:00:00+00:00,True,False,,,,,,,
2016-08-08 00:00:00+00:00,True,False,,,,,,,
2016-08-09 00:00:00+00:00,True,False,,,,,,,
2016-08-10 00:00:00+00:00,True,False,,,,,,,
2016-08-11 00:00:00+00:00,False,True,146.0,1.0,0.0,0.027968337131432472,0.08487690578195756,4.0,0.02399793832546876
2016-08-12 00:00:00+00:00,True,False,,,,,,,
2016-08-15 00:00:00+00:00,True,False,,,,,,,
2016-08-16 00:00:00+00:00,True,False,,,,,,,
2016-08-17 00:00:00+00:00,False,True,162.0,0.0,1.0,-0.009785434900772156,0.19315920366726552,16.0,-0.025176277297111305
2016-08-18 00:00:00+00:00,True,False,,,,,,,
2016-08-19 00:00:00+00:00,True,False,,,,,,,
2016-08-22 00:00:00+00:00,True,False,,,,,,,
2016-08-23 00:00:00+00:00,True,False,,,,,,,
2016-08-24 00:00:00+00:00,True,False,,,,,,,
2016-08-25 00:00:00+00:00,True,False,,,,,,,
2016-08-26 00:00:00+00:00,True,False,,,,,,,
2016-08-29 00:00:00+00:00,True,False,,,,,,,
2016-08-30 00:00:00+00:00,True,False,,,,,,,
2016-08-31 00:00:00+00:00,True,False,,,,,,,
2016-09-01 00:00:00+00:00,True,False,,,,,,,
2016-09-02 00:00:00+00:00,True,False,,,,,,,
2016-09-06 00:00:00+00:00,True,False,,,,,,,
2016-09-07 00:00:00+00:00,True,False,,,,,,,
2016-09-08 00:00:00+00:00,True,False,,,,,,,
2016-09-09 00:00:00+00:00,False,True,163.0,0.0,1.0,0.020451499189654127,0.020454351040838037,1.0,0.020454351040838037
2016-09-12 00:00:00+00:00,False,True,193.0,1.0,0.0,0.015804320492876094,0.3529637271808974,30.0,0.15181995935297454
2016-09-13 00:00:00+00:00,True,False,,,,,,,
2016-09-14 00:00:00+00:00,True,False,,,,,,,
2016-09-15 00:00:00+00:00,True,False,,,,,,,
2016-09-16 00:00:00+00:00,True,False,,,,,,,
2016-09-19 00:00:00+00:00,True,False,,,,,,,
2016-09-20 00:00:00+00:00,True,False,,,,,,,
2016-09-21 00:00:00+00:00,True,False,,,,,,,
2016-09-22 00:00:00+00:00,True,False,,,,,,,
2016-09-23 00:00:00+00:00,True,False,,,,,,,
2016-09-26 00:00:00+00:00,True,False,,,,,,,
2016-09-27 00:00:00+00:00,True,False,,,,,,,
2016-09-28 00:00:00+00:00,True,False,,,,,,,
2016-09-29 00:00:00+00:00,True,False,,,,,,,
2016-09-30 00:00:00+00:00,True,False,,,,,,,
2016-10-03 00:00:00+00:00,True,False,,,,,,,
2016-10-04 00:00:00+00:00,True,False,,,,,,,
2016-10-05 00:00:00+00:00,True,False,,,,,,,
2016-10-06 00:00:00+00:00,True,False,,,,,,,
2016-10-07 00:00:00+00:00,True,False,,,,,,,
2016-10-10 00:00:00+00:00,True,False,,,,,,,
2016-10-11 00:00:00+00:00,True,False,,,,,,,
2016-10-12 00:00:00+00:00,True,False,,,,,,,
2016-10-13 00:00:00+00:00,True,False,,,,,,,
2016-10-14 00:00:00+00:00,True,False,,,,,,,
2016-10-17 00:00:00+00:00,True,False,,,,,,,
2016-10-18 00:00:00+00:00,True,False,,,,,,,
2016-10-19 00:00:00+00:00,True,False,,,,,,,
2016-10-20 00:00:00+00:00,True,False,,,,,,,
2016-10-21 00:00:00+00:00,True,False,,,,,,,
2016-10-24 00:00:00+00:00,False,True,206.0,0.0,1.0,0.0017592539163724097,0.2066225877912765,13.0,-0.042467496824509676
2016-10-25 00:00:00+00:00,True,False,,,,,,,
2016-10-26 00:00:00+00:00,True,False,,,,,,,
2016-10-27 00:00:00+00:00,True,False,,,,,,,
2016-10-28 00:00:00+00:00,True,False,,,,,,,
2016-10-31 00:00:00+00:00,True,False,,,,,,,
2016-11-01 00:00:00+00:00,True,False,,,,,,,
2016-11-02 00:00:00+00:00,True,False,,,,,,,
2016-11-03 00:00:00+00:00,True,False,,,,,,,
2016-11-04 00:00:00+00:00,True,False,,,,,,,
2016-11-07 00:00:00+00:00,True,False,,,,,,,
2016-11-08 00:00:00+00:00,True,False,,,,,,,
2016-11-09 00:00:00+00:00,True,False,,,,,,,
2016-11-10 00:00:00+00:00,False,True,207.0,0.0,1.0,0.25518850775098645,0.26087609864661676,1.0,0.26087609864661676
2016-11-11 00:00:00+00:00,False,True,236.0,1.0,0.0,0.011554065760408431,0.5943379095138344,29.0,0.2229787346168559
2016-11-14 00:00:00+00:00,True,False,,,,,,,
2016-11-15 00:00:00+00:00,True,False,,,,,,,
2016-11-16 00:00:00+00:00,True,False,,,,,,,
2016-11-17 00:00:00+00:00,True,False,,,,,,,
2016-11-18 00:00:00+00:00,True,False,,,,,,,
2016-11-21 00:00:00+00:00,True,False,,,,,,,
2016-11-22 00:00:00+00:00,True,False,,,,,,,
2016-11-23 00:00:00+00:00,True,False,,,,,,,
2016-11-25 00:00:00+00:00,True,False,,,,,,,
2016-11-28 00:00:00+00:00,True,False,,,,,,,
2016-11-29 00:00:00+00:00,True,False,,,,,,,
2016-11-30 00:00:00+00:00,True,False,,,,,,,
2016-12-01 00:00:00+00:00,True,False,,,,,,,
2016-12-02 00:00:00+00:00,True,False,,,,,,,
2016-12-05 00:00:00+00:00,True,False,,,,,,,
2016-12-06 00:00:00+00:00,True,False,,,,,,,
2016-12-07 00:00:00+00:00,True,False,,,,,,,
2016-12-08 00:00:00+00:00,True,False,,,,,,,
2016-12-09 00:00:00+00:00,True,False,,,,,,,
2016-12-12 00:00:00+00:00,True,False,,,,,,,
2016-12-13 00:00:00+00:00,True,False,,,,,,,
2016-12-14 00:00:00+00:00,True,False,,,,,,,
2016-12-15 00:00:00+00:00,True,False,,,,,,,
2016-12-16 00:00:00+00:00,True,False,,,,,,,
2016-12-19 00:00:00+00:00,True,False,,,,,,,
2016-12-20 00:00:00+00:00,True,False,,,,,,,
2016-12-21 00:00:00+00:00,True,False,,,,,,,
2016-12-22 00:00:00+00:00,True,False,,,,,,,
2016-12-23 00:00:00+00:00,False,True,237.0,1.0,0.0,0.06632959121059212,0.06642703758563817,1.0,0.06642703758563817
2016-12-27 00:00:00+00:00,False,True,278.0,0.0,1.0,-0.01626385094803628,0.8797929866341951,41.0,-0.11531866703949856
2016-12-28 00:00:00+00:00,True,False,,,,,,,
2016-12-29 00:00:00+00:00,True,False,,,,,,,
2016-12-30 00:00:00+00:00,True,False,,,,,,,
2017-01-03 00:00:00+00:00,True,False,,,,,,,
2017-01-04 00:00:00+00:00,True,False,,,,,,,
2017-01-05 00:00:00+00:00,True,False,,,,,,,
2017-01-06 00:00:00+00:00,True,False,,,,,,,
2017-01-09 00:00:00+00:00,True,False,,,,,,,
2017-01-10 00:00:00+00:00,True,False,,,,,,,
2017-01-11 00:00:00+00:00,True,False,,,,,,,
2017-01-12 00:00:00+00:00,True,False,,,,,,,
2017-01-13 00:00:00+00:00,True,False,,,,,,,
2017-01-17 00:00:00+00:00,True,False,,,,,,,
2017-01-18 00:00:00+00:00,True,False,,,,,,,
2017-01-19 00:00:00+00:00,True,False,,,,,,,
2017-01-20 00:00:00+00:00,True,False,,,,,,,
2017-01-23 00:00:00+00:00,True,False,,,,,,,
2017-01-24 00:00:00+00:00,True,False,,,,,,,
2017-01-25 00:00:00+00:00,True,False,,,,,,,
2017-01-26 00:00:00+00:00,True,False,,,,,,,
2017-01-27 00:00:00+00:00,True,False,,,,,,,
2017-01-30 00:00:00+00:00,True,False,,,,,,,
2017-01-31 00:00:00+00:00,True,False,,,,,,,
2017-02-01 00:00:00+00:00,True,False,,,,,,,
2017-02-02 00:00:00+00:00,True,False,,,,,,,
2017-02-03 00:00:00+00:00,True,False,,,,,,,
2017-02-06 00:00:00+00:00,True,False,,,,,,,
2017-02-07 00:00:00+00:00,True,False,,,,,,,
2017-02-08 00:00:00+00:00,True,False,,,,,,,
2017-02-09 00:00:00+00:00,True,False,,,,,,,
2017-02-10 00:00:00+00:00,True,False,,,,,,,
2017-02-13 00:00:00+00:00,True,False,,,,,,,
2017-02-14 00:00:00+00:00,True,False,,,,,,,
2017-02-15 00:00:00+00:00,True,False,,,,,,,
2017-02-16 00:00:00+00:00,True,False,,,,,,,
2017-02-17 00:00:00+00:00,True,False,,,,,,,
2017-02-21 00:00:00+00:00,True,False,,,,,,,
2017-02-22 00:00:00+00:00,True,False,,,,,,,
2017-02-23 00:00:00+00:00,True,False,,,,,,,
2017-02-24 00:00:00+00:00,True,False,,,,,,,
2017-02-27 00:00:00+00:00,False,True,293.0,0.0,1.0,0.001847549478044987,0.21168654087662342,15.0,0.04714249395413239
2017-02-28 00:00:00+00:00,True,False,,,,,,,
2017-03-01 00:00:00+00:00,True,False,,,,,,,
2017-03-02 00:00:00+00:00,True,False,,,,,,,
2017-03-03 00:00:00+00:00,True,False,,,,,,,
2017-03-06 00:00:00+00:00,True,False,,,,,,,
2017-03-07 00:00:00+00:00,True,False,,,,,,,
2017-03-08 00:00:00+00:00,True,False,,,,,,,
2017-03-09 00:00:00+00:00,True,False,,,,,,,
2017-03-10 00:00:00+00:00,True,False,,,,,,,
2017-03-13 00:00:00+00:00,True,False,,,,,,,
2017-03-14 00:00:00+00:00,True,False,,,,,,,
2017-03-15 00:00:00+00:00,True,False,,,,,,,
2017-03-16 00:00:00+00:00,True,False,,,,,,,
2017-03-17 00:00:00+00:00,True,False,,,,,,,
2017-03-20 00:00:00+00:00,False,True,311.0,0.0,1.0,-0.026307959268930446,0.2580815564715063,18.0,-0.136446312417979
2017-03-21 00:00:00+00:00,True,False,,,,,,,
2017-03-22 00:00:00+00:00,True,False,,,,,,,
2017-03-23 00:00:00+00:00,True,False,,,,,,,
2017-03-24 00:00:00+00:00,True,False,,,,,,,
2017-03-27 00:00:00+00:00,True,False,,,,,,,
2017-03-28 00:00:00+00:00,True,False,,,,,,,
2017-03-29 00:00:00+00:00,True,False,,,,,,,
2017-03-30 00:00:00+00:00,True,False,,,,,,,
2017-03-31 00:00:00+00:00,True,False,,,,,,,
2017-04-03 00:00:00+00:00,True,False,,,,,,,
2017-04-04 00:00:00+00:00,True,False,,,,,,,
2017-04-05 00:00:00+00:00,True,False,,,,,,,
2017-04-06 00:00:00+00:00,True,False,,,,,,,
2017-04-07 00:00:00+00:00,True,False,,,,,,,
2017-04-10 00:00:00+00:00,True,False,,,,,,,
2017-04-11 00:00:00+00:00,True,False,,,,,,,
2017-04-12 00:00:00+00:00,True,False,,,,,,,
2017-04-13 00:00:00+00:00,False,True,322.0,0.0,1.0,0.018209376306448616,0.1497643429046538,11.0,0.11043735391071641
2017-04-17 00:00:00+00:00,True,False,,,,,,,
2017-04-18 00:00:00+00:00,True,False,,,,,,,
2017-04-19 00:00:00+00:00,True,False,,,,,,,
2017-04-20 00:00:00+00:00,True,False,,,,,,,
2017-04-21 00:00:00+00:00,True,False,,,,,,,
2017-04-24 00:00:00+00:00,True,False,,,,,,,
2017-04-25 00:00:00+00:00,True,False,,,,,,,
2017-04-26 00:00:00+00:00,True,False,,,,,,,
2017-04-27 00:00:00+00:00,True,False,,,,,,,
2017-04-28 00:00:00+00:00,True,False,,,,,,,
2017-05-01 00:00:00+00:00,False,True,328.0,0.0,1.0,-0.01813939543113841,0.05363750840763526,6.0,-0.03531291281219051
2017-05-02 00:00:00+00:00,True,False,,,,,,,
2017-05-03 00:00:00+00:00,True,False,,,,,,,
2017-05-04 00:00:00+00:00,True,False,,,,,,,
2017-05-05 00:00:00+00:00,True,False,,,,,,,
2017-05-08 00:00:00+00:00,True,False,,,,,,,
2017-05-09 00:00:00+00:00,False,True,329.0,0.0,1.0,0.16259012527684966,0.16403815876302041,1.0,0.16403815876302041
2017-05-10 00:00:00+00:00,False,True,334.0,1.0,0.0,-0.0005020266828983288,0.18916095727507187,5.0,0.051656394085808355
2017-05-11 00:00:00+00:00,True,False,,,,,,,
2017-05-12 00:00:00+00:00,True,False,,,,,,,
2017-05-15 00:00:00+00:00,True,False,,,,,,,
2017-05-16 00:00:00+00:00,True,False,,,,,,,
2017-05-17 00:00:00+00:00,False,True,349.0,1.0,0.0,0.03370524149946557,0.28386381401412475,15.0,0.22601078435569244
2017-05-18 00:00:00+00:00,True,False,,,,,,,
2017-05-19 00:00:00+00:00,True,False,,,,,,,
2017-05-22 00:00:00+00:00,True,False,,,,,,,
2017-05-23 00:00:00+00:00,True,False,,,,,,,
2017-05-24 00:00:00+00:00,True,False,,,,,,,
