Date,Open,High,Low,Close,Volume,log_close,r,amplitude,sign,theta,sigma_local,viscosity,amp_z,sin_theta_abs,x_log_n,n_eff,n_eff_acceptable,n_eff_for_use,causal_segment_id,causal_run_length,causal_theta_so_far,causal_current_sign,d_theta,d_amp_z,d_sigma_local,d_viscosity,d_causal_theta_so_far
2016-01-20 00:00:00+00:00,0.6539296326291868,0.678808715591986,0.6451487763980053,0.6702717542648315,481180000,-0.4000720454515951,0.005473502359879867,0.005473502359879867,1.0,0.005473447700227195,0.02566524733107329,2.098116247384256,0.21326504890535503,0.005473420370769302,1.0686092255192152,2.9113276828016934,True,2.9113276828016934,0,11,-0.029888639625058243,-1.0,-0.002608638507859978,-0.09639784880578339,-0.00043493822576742835,1.9718921299913903,0.0007618170058036715
2016-01-21 00:00:00+00:00,0.677588954436018,0.6885649774089188,0.6636859028353268,0.6780767440795898,481456000,-0.3884948055896543,0.011577239861940758,0.011577239861940758,1.0,0.011576722661465482,0.025635761127783527,1.8967429203176864,0.4516049002088952,0.011576464076823736,0.31953982793428537,1.3764941943946642,True,1.3764941943946642,0,12,-0.028118006657871685,-1.0,0.006103274961238287,0.23833985130354018,-2.9486203289762203e-05,-0.2013733270665694,0.0017706329671865577
2016-01-22 00:00:00+00:00,0.6910043102020895,0.6985656335093631,0.6895408245198243,0.6939312815666199,257996000,-0.3653823412934633,0.023112464296191015,0.023112464296191015,1.0,0.023108350163075417,0.02647619751253463,2.0036406219509337,0.8729522264564848,0.023106293590815556,-0.371590693173498,0.6896364576739193,True,0.6896364576739193,0,13,-0.024094091903592168,-1.0,0.011531627501609935,0.42134732624758964,0.0008404363847511025,0.1068977016332473,0.004023914754279517
2016-01-25 00:00:00+00:00,0.6936873632714413,0.7017364760991004,0.691736029709813,0.6931995153427124,270728000,-0.36643742030031823,-0.0010550790068549198,0.0010550790068549198,-1.0,-0.0010550786153534465,0.025547841528818657,0.04365683996327191,0.04129815008768008,0.0010550784196028079,2.714890196381602,15.102951622108577,True,15.102951622108577,0,14,-0.02401177228130423,-1.0,-0.024163428778428864,-0.8316540763688047,-0.000928355983715972,-1.9599837819876618,8.23196222879373e-05
2016-01-26 00:00:00+00:00,0.6946630384069956,0.7029560465692377,0.6875895629023582,0.7000290751457214,227944000,-0.35663340887886574,0.009804011421452485,0.009804011421452485,1.0,0.009803697323485386,0.025107590254012956,0.9028382678822526,0.3904798277121489,0.009803540281294274,0.485770176175075,1.6254263915709175,True,1.6254263915709175,0,15,-0.02292512475509046,-1.0,0.010858775938838832,0.34918167762446883,-0.00044025127480570164,0.8591814279189807,0.00108664752621377
2016-01-27 00:00:00+00:00,0.6990534728812036,0.7012487015602966,0.6785648463362159,0.691736102104187,231700000,-0.368550751439678,-0.011917342560812283,0.011917342560812283,-1.0,-0.011916778429755734,0.024275774252828838,0.5486461425968759,0.4909148325217779,0.011916496382252556,0.2905902399067166,1.3372165337015534,True,1.3372165337015534,0,16,-0.02251128737191258,-1.0,-0.02172047575324112,0.10043500480962902,-0.0008318160011841179,-0.3541921252853767,0.000413837383177882
2016-01-28 00:00:00+00:00,0.6973460914357943,0.6997852150255235,0.6707596268617579,0.6841748356819153,276776000,-0.37954178629957636,-0.01099103485989833,0.01099103485989833,-1.0,-0.010990592309206132,0.0235142090951493,11.86529723987138,0.46742078975378976,0.010990371045887813,0.3714943299780469,1.4498996251154064,True,1.4498996251154064,0,17,-0.02212523770002989,-1.0,0.0009261861205496023,-0.023494042767988166,-0.0007615651576795383,11.316651097274503,0.0003860496718826878
2016-01-29 00:00:00+00:00,0.6900287824973961,0.7158835064959252,0.6873457637542671,0.7144200205802917,310504000,-0.33628422548400605,0.043257560815570306,0.043257560815570306,1.0,0.043230609646497664,0.02586103845477959,0.7973948874253093,1.6726916888621166,0.043217145394000386,-0.9977227621745728,0.3687181447513867,True,0.3687181447513867,0,18,-0.014510219219205046,-1.0,0.0542212019557038,1.205270899108327,0.002346829359630289,-11.06790235244607,0.007615018480824845
2016-02-01 00:00:00+00:00,0.7136884040100673,0.7183226989815839,0.7075905648296921,0.7146640419960022,289884000,-0.3359427180465189,0.00034150743748717627,0.00034150743748717627,1.0,0.00034150742421081037,0.02516878845040785,0.007957566715254251,0.013568682595638261,0.00034150741757262774,3.842871367978799,46.65925817654514,False,15.93479001040811,0,19,-0.014496570173462463,-1.0,-0.042889102222286854,-1.6591230062664784,-0.0006922500043717375,-0.789437320710055,1.3649045742582591e-05
2016-02-02 00:00:00+00:00,0.7073462999932281,0.7110049550656633,0.6795402539376609,0.6844184994697571,341908000,-0.37918570712812644,-0.043242989081607563,0.043242989081607563,-1.0,-0.0432160651193282,0.025929173351687977,0.9921642467756849,1.6677343244901102,0.04320261445117251,-0.9973864747415142,0.36884216088117144,True,0.36884216088117144,0,20,-0.01749027886794583,-1.0,-0.04355757254353901,1.654165641894472,0.0007603849012801263,0.9842066800604307,-0.002993708694483368
2016-02-03 00:00:00+00:00,0.6897848815136622,0.693931386136063,0.6719792720539604,0.6878335475921631,326772000,-0.37420840695948127,0.004977300168645171,0.004977300168645171,1.0,0.004977259067512706,0.02552841570045169,0.1032200182502825,0.19497090134144485,0.004977238517175568,1.163637538090521,3.201557909620071,True,3.201557909620071,0,21,-0.017223908032544945,-1.0,0.048193324186840907,-1.4727634231486653,-0.0004007576512362887,-0.8889442285254024,0.00026637083540088577
2016-02-04 00:00:00+00:00,0.6888091345425815,0.7036878292497837,0.6812478688082945,0.688077449798584,348140000,-0.3738538750029257,0.00035453195655554826,0.00035453195655554826,1.0,0.00035453194170149846,0.024239581018801963,0.07669240017363715,0.014626152573306532,0.00035453193427447397,3.8054434185293156,44.94517521860171,False,15.93479001040811,0,22,-0.017209075801805775,-1.0,-0.004622727125811207,-0.1803447487681383,-0.0012888346816497254,-0.026527618076645346,1.4832230739170171e-05
