feature,coef_std,odds_ratio_1sd,abs_coef_std
d_amp_z,0.5563747900182856,1.7443374347827105,0.5563747900182856
causal_current_sign,0.5441027304700014,1.7230616378508883,0.5441027304700014
viscosity,0.4772917611621016,1.6117036079807465,0.4772917611621016
d_causal_theta_so_far,0.35388636811077073,1.4245932980543774,0.35388636811077073
d_viscosity,-0.35001042172105706,0.7046807456942789,0.35001042172105706
amp_z,-0.2699437276143584,0.7634224527308237,0.2699437276143584
d_theta,-0.19051274965055698,0.8265352196266545,0.19051274965055698
theta,-0.16663966303627478,0.8465045832788749,0.16663966303627478
d_sigma_local,0.15843791845182206,1.1716791823096524,0.15843791845182206
causal_theta_so_far,-0.15216862133995243,0.8588434491974092,0.15216862133995243
sigma_local,0.05509471474166705,1.0566406893860745,0.05509471474166705
causal_run_length,-0.011818980094855344,0.9882505896993146,0.011818980094855344
