feature,coef_std,odds_ratio_1sd,abs_coef_std
amp_z,1.4348181536895133,4.198881388270613,1.4348181536895133
d_viscosity,0.2589385473035096,1.2955541870834653,0.2589385473035096
d_causal_theta_so_far,0.22236785028381945,1.249030749684847,0.22236785028381945
theta,-0.2212041514579581,0.8015530253668087,0.2212041514579581
sigma_local,0.1814457663644887,1.1989495115556483,0.1814457663644887
viscosity,-0.15126571183787516,0.859619257298033,0.15126571183787516
d_sigma_local,-0.11195219455598143,0.8940869987046823,0.11195219455598143
causal_current_sign,-0.10333388494512775,0.9018258171450585,0.10333388494512775
causal_run_length,-0.0873648079137421,0.9163427455648028,0.0873648079137421
d_amp_z,-0.038476878813399874,0.9622539529358167,0.038476878813399874
causal_theta_so_far,-0.03076406596726722,0.9697043323426047,0.03076406596726722
d_theta,0.016333136224580533,1.0164672510711514,0.016333136224580533
