Date,Open,High,Low,Close,Volume
2020-01-02 00:00:00+00:00,103.09100702291825,103.27576676176437,102.86609384739573,103.00264739990234,15348700
2020-01-03 00:00:00+00:00,103.13921701640912,103.3882394523112,103.0348009051993,103.3561019897461,10110900
2020-01-06 00:00:00+00:00,103.37218613755196,103.50873973169196,102.93038788777405,103.0107192993164,13894300
2020-01-07 00:00:00+00:00,102.95446519807145,102.96249343495147,102.6893862988283,102.74562072753906,8211700
2020-01-08 00:00:00+00:00,102.82593550556098,103.07495792048188,102.55282838102157,102.60102844238281,12268500
2020-01-09 00:00:00+00:00,102.57689924393284,103.1311538453553,102.54477404910028,103.09098815917969,14415100
2020-01-10 00:00:00+00:00,103.19544049711347,103.50068507483805,103.14724656523052,103.38018798828125,8263500
2020-01-13 00:00:00+00:00,103.2356692655075,103.25976624617127,103.08304688339902,103.13124084472656,4477400
2020-01-14 00:00:00+00:00,103.10708229886598,103.27577331964393,103.0749570961152,103.25970458984375,11066300
2020-01-15 00:00:00+00:00,103.46053742926857,103.51675960732419,103.33201208392495,103.48463439941406,8712400
2020-01-16 00:00:00+00:00,103.54085940994132,103.709550462426,103.42037455591789,103.62921905517578,13926100
2020-01-17 00:00:00+00:00,103.56499111203259,103.6935165039941,103.29992434428895,103.61319732666016,13727800
2020-01-21 00:00:00+00:00,103.91038213423707,104.15939237404979,103.67744062962785,104.11119842529297,16807300
2020-01-22 00:00:00+00:00,104.29591424482717,104.32805170545504,104.15936067928364,104.16738891601562,9928600
2020-01-23 00:00:00+00:00,104.35218717697236,104.42447810478446,104.2156335610425,104.30399322509766,13623200
2020-01-24 00:00:00+00:00,104.52892210848287,104.60121304708608,104.39236847216915,104.48072814941406,11604500
2020-01-27 00:00:00+00:00,104.57708254288335,104.7859270508502,104.53691683758332,104.68151092529297,10461200
2020-01-28 00:00:00+00:00,104.78590229641549,104.8742619244607,104.52082341227987,104.62525177001953,12055900
2020-01-29 00:00:00+00:00,104.90640905174834,105.1313222608,104.89836855773538,104.96263122558594,11174700
2020-01-30 00:00:00+00:00,105.00279664744873,105.18754415649896,104.8019804072657,105.02689361572266,14619200
2020-01-31 00:00:00+00:00,105.19559456107844,105.35624511698978,105.04297224306453,105.30001068115234,20194800
2020-02-03 00:00:00+00:00,105.1606891911296,105.34591287683851,105.03183258870517,105.21705627441406,11216300
2020-02-04 00:00:00+00:00,105.0318583519916,105.09628666900745,104.79831645519849,104.95938110351562,16799300
2020-02-05 00:00:00+00:00,104.83048442732043,104.9432308669211,104.7660561349143,104.89491271972656,9587500
2020-02-06 00:00:00+00:00,104.92714482001543,105.04795250418759,104.83855743366642,104.84661865234375,11028900
2020-02-07 00:00:00+00:00,105.2734190218147,105.4103245321054,105.16067258460825,105.24925994873047,11517200
2020-02-10 00:00:00+00:00,105.4183934335988,105.54725004008878,105.3378672708743,105.49893188476562,10405800
2020-02-11 00:00:00+00:00,105.41034505162668,105.55531180679183,105.32980660004132,105.34591674804688,10052700
2020-02-12 00:00:00+00:00,105.25733819270566,105.34592558150081,105.17681202281045,105.297607421875,7069100
2020-02-13 00:00:00+00:00,105.29758250793478,105.42643909541114,105.20899514009986,105.22510528564453,5437400
2020-02-14 00:00:00+00:00,105.54727744106489,105.61170576103603,105.3781638535305,105.48284912109375,8254500
2020-02-18 00:00:00+00:00,105.60367027828285,105.78084510865607,105.52313179595062,105.68419647216797,9650900
2020-02-19 00:00:00+00:00,105.59558218041876,105.73248773478018,105.50699478777972,105.53921508789062,10731500
2020-02-20 00:00:00+00:00,105.62780014485405,105.89356231689453,105.61168999515483,105.89356231689453,13706000
2020-02-21 00:00:00+00:00,106.12705671356238,106.3445006276753,106.0384693625118,106.10289764404297,12192700
2020-02-24 00:00:00+00:00,106.32036763447663,106.433114082699,106.11097259603417,106.11903381347656,17894700
2020-02-25 00:00:00+00:00,106.2237319946289,106.4653350669725,106.10293660267847,106.2237319946289,19930500
2020-02-26 00:00:00+00:00,105.9016016851202,106.33647738018237,105.82106323234002,105.8291244506836,23073400
2020-02-27 00:00:00+00:00,106.00625711705118,106.22368873401085,105.24924019995025,105.26535034179688,29687900
2020-02-28 00:00:00+00:00,105.50696275833471,106.53779085695693,105.30562895331568,106.44920349121094,25073300
2020-03-02 00:00:00+00:00,106.48072043095077,106.99749906603431,106.26271310746012,106.34345245361328,15922600
2020-03-03 00:00:00+00:00,106.44840036526645,108.19253244006778,106.38380151201773,107.55462646484375,39141000
2020-03-04 00:00:00+00:00,107.8857279335046,108.24908582668016,107.59503915476901,107.70808410644531,23702000
2020-03-05 00:00:00+00:00,107.974520326943,108.09563548456357,107.44158899146787,107.66767883300781,22089500
2020-03-06 00:00:00+00:00,108.36211151044415,108.6285772036527,107.78881661494344,108.41864013671875,30099900
2020-03-09 00:00:00+00:00,106.01239819338356,107.570816809722,105.25338912493832,105.78630828857422,27166000
2020-03-10 00:00:00+00:00,105.70557661947745,106.06893454141077,103.40428924560547,103.40428924560547,30024700
2020-03-11 00:00:00+00:00,103.42040320541487,103.5738239488512,99.47995922189133,100.00481414794922,37310300
2020-03-12 00:00:00+00:00,98.0507478656137,101.5793819461564,93.44011063315502,95.2326889038086,41021400
2020-03-13 00:00:00+00:00,98.09918792736076,100.1259323144687,96.2823867361708,99.35884094238281,33470600
2020-03-16 00:00:00+00:00,93.92462494024274,98.55141670106035,93.02833546909214,97.94581604003906,19928900
