Date,Open,High,Low,Close,Volume
2020-01-02 00:00:00+00:00,114.43860459989202,115.05769371598554,114.33821660044958,114.6226577758789,11034100
2020-01-03 00:00:00+00:00,115.67680585544144,116.42138011903195,115.35053202680102,116.38790893554688,12366000
2020-01-06 00:00:00+00:00,116.86480586230958,116.88154145810532,115.5764330619434,115.7270278930664,11369800
2020-01-07 00:00:00+00:00,115.63497256329359,115.84412277951057,115.14974252980822,115.1581039428711,8381200
2020-01-08 00:00:00+00:00,115.39237988106527,115.71029237379796,114.04546440832145,114.39683532714844,10621700
2020-01-09 00:00:00+00:00,113.77769361214743,114.98240064581702,113.70240261392144,114.79834747314453,7411500
2020-01-10 00:00:00+00:00,115.17480655888971,115.84408961226534,115.14134815070155,115.8189926147461,8776000
2020-01-13 00:00:00+00:00,115.35052013869843,115.5261991545828,114.9405811591101,115.46764373779297,5966900
2020-01-14 00:00:00+00:00,115.60150483588183,116.13694166029953,115.56804641711398,116.06163787841797,13920300
2020-01-15 00:00:00+00:00,116.72259513637157,116.92337124091448,116.30429456454664,116.83134460449219,6290500
2020-01-16 00:00:00+00:00,116.50504615432592,116.73093198992663,116.07002284233943,116.46322631835938,6798600
2020-01-17 00:00:00+00:00,115.09953735049159,115.56803174686975,114.9154841568409,115.46764373779297,9693100
2020-01-21 00:00:00+00:00,116.12855786295177,116.83129948851963,116.09509944695515,116.68071746826172,6794900
2020-01-22 00:00:00+00:00,116.88987129646529,117.24124212014013,116.78110910145313,117.09066009521484,6317000
2020-01-23 00:00:00+00:00,117.83525432388844,118.27865182650478,117.77668612725103,117.9105453491211,9747400
2020-01-24 00:00:00+00:00,118.31207537101655,119.25743829419531,118.21168736696721,118.8642349243164,8585000
2020-01-27 00:00:00+00:00,120.42868592012856,120.71312713623047,120.0522181028742,120.71312713623047,10935200
2020-01-28 00:00:00+00:00,120.4119806113889,120.54583984045914,119.4833657192007,119.76780700683594,10612900
2020-01-29 00:00:00+00:00,120.00201423093638,121.05612658569594,119.99364005346472,120.93900299072266,9566800
2020-01-30 00:00:00+00:00,121.22342455408173,121.86761060488082,120.71309766600938,120.95571899414062,14711800
2020-01-31 00:00:00+00:00,121.4493131842842,122.13533183544206,121.38238360132884,122.06002807617188,14538100
2020-02-03 00:00:00+00:00,121.46670932443485,122.14547952156938,120.77117573854959,121.96112060546875,15309000
2020-02-04 00:00:00+00:00,120.66228959463204,120.787983089212,119.88295156806494,120.31871032714844,11388300
2020-02-05 00:00:00+00:00,119.24608386033644,119.58127503883874,118.91087989511033,119.00305938720703,10782600
2020-02-06 00:00:00+00:00,119.14551862996069,119.73212238400806,118.99468643267359,119.53937530517578,6683100
2020-02-07 00:00:00+00:00,120.85501209594038,121.29077081252807,120.56171025489199,121.0309829711914,11374800
2020-02-10 00:00:00+00:00,121.5924261755042,121.71811963531042,121.24045891460638,121.36616516113281,6699300
2020-02-11 00:00:00+00:00,121.16508575988927,121.27402865479307,120.62039685881973,120.75447845458984,7784100
