segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
0,0,5,2016-01-20 00:00:00+00:00,2016-01-27 00:00:00+00:00,6,0.012969603884433578,0.01043343628946144,0.640641345912535,0.02071359531426802,0.5228244249545366,1.0
1,6,6,2016-01-28 00:00:00+00:00,2016-01-28 00:00:00+00:00,1,0.016266546175169427,0.016265111690685334,0.8014306415846832,0.020296875757955662,0.46953159591837984,1.0
2,7,22,2016-01-29 00:00:00+00:00,2016-02-22 00:00:00+00:00,16,0.018423760670330136,0.007079015554099204,0.710373449919208,0.023244449356531083,1.3897662984126782,1.0
3,23,32,2016-02-23 00:00:00+00:00,2016-03-07 00:00:00+00:00,10,-0.03125267813056842,-0.002092247654347858,0.7642289575163719,0.019214907533687868,0.8045888189111385,-1.0
4,33,34,2016-03-08 00:00:00+00:00,2016-03-09 00:00:00+00:00,2,0.034855004852788696,0.019067753475274212,1.0834925773416813,0.01600117090775168,1.2559968573336273,1.0
5,35,35,2016-03-10 00:00:00+00:00,2016-03-10 00:00:00+00:00,1,-0.015063886994587161,-0.015062747713815045,0.8980001501583332,0.016774917033064673,0.39806835679343494,-1.0
6,36,46,2016-03-11 00:00:00+00:00,2016-03-28 00:00:00+00:00,11,0.028224576734362294,0.001287444181648006,0.5681240520591717,0.01579182224527775,0.8203031586649522,1.0
7,47,52,2016-03-29 00:00:00+00:00,2016-04-05 00:00:00+00:00,6,0.01887158861274063,0.005351519878347675,0.6930304301400478,0.013085140369206175,0.9612526411062469,1.0
8,53,53,2016-04-06 00:00:00+00:00,2016-04-06 00:00:00+00:00,1,0.01021167060404693,0.010211315674654062,0.836623167299463,0.012205808584977983,0.39227830987726703,1.0
9,54,71,2016-04-07 00:00:00+00:00,2016-05-02 00:00:00+00:00,18,-0.08536353169651534,-0.027664972868928724,0.7946913004330373,0.01373988754674438,0.9194817028555354,-1.0
10,72,86,2016-05-03 00:00:00+00:00,2016-05-23 00:00:00+00:00,15,-0.004556269496437171,-0.0012090356092328818,0.5071775402306462,0.01864862678417142,0.7423963649794243,-1.0
11,87,87,2016-05-24 00:00:00+00:00,2016-05-24 00:00:00+00:00,1,0.030705141382352696,0.030695497176486196,2.278990373845681,0.013473123425543753,0.7236827470026329,1.0
12,88,108,2016-05-25 00:00:00+00:00,2016-06-23 00:00:00+00:00,21,0.00618328702512283,0.0015461070542769622,0.6873399653789554,0.012140819240463594,0.8507226190692275,1.0
13,109,110,2016-06-24 00:00:00+00:00,2016-06-27 00:00:00+00:00,2,-0.06939157525704243,-0.035786516880546806,2.341875852052645,0.014912526342629519,1.4972814475090699,-1.0
14,111,125,2016-06-28 00:00:00+00:00,2016-07-19 00:00:00+00:00,15,0.0918689834799582,0.010865231821819634,0.5087613539965089,0.016536324474189807,1.9109173586229613,1.0
15,126,161,2016-07-20 00:00:00+00:00,2016-09-08 00:00:00+00:00,36,0.08479151602962842,0.016450034254947628,0.4943219096959809,0.009863860588840633,1.2376942371653414,1.0
16,162,162,2016-09-09 00:00:00+00:00,2016-09-09 00:00:00+00:00,1,-0.021472160010029384,-0.021468860983310297,3.7275541936784524,0.005760378419420958,1.2287034281504954,-1.0
17,163,163,2016-09-12 00:00:00+00:00,2016-09-12 00:00:00+00:00,1,0.014833576936237325,0.014832489111125733,2.2129162295254345,0.006703170508291732,0.4085737984730445,1.0
18,164,173,2016-09-13 00:00:00+00:00,2016-09-26 00:00:00+00:00,10,-0.002632975987350239,0.0037319725411404637,0.8961933100072196,0.008129996090242534,0.9290089055560585,-1.0
19,174,192,2016-09-27 00:00:00+00:00,2016-10-21 00:00:00+00:00,19,0.0473666301917568,0.012975098143130135,0.7608154988612386,0.009312795962896412,17.50863034764716,1.0
20,193,208,2016-10-24 00:00:00+00:00,2016-11-14 00:00:00+00:00,16,-0.02615225664612586,0.0015520409854054378,0.6703735655220444,0.01280329905818554,0.9689016342140134,-1.0
21,209,247,2016-11-15 00:00:00+00:00,2017-01-11 00:00:00+00:00,39,0.09036921334044745,0.006375487829351693,0.6251008425767105,0.011634676681635934,0.86437252643687,1.0
22,248,257,2017-01-12 00:00:00+00:00,2017-01-26 00:00:00+00:00,10,0.01694668040918934,0.002713003618628489,0.782588082693066,0.006318505212994591,0.7785991904453629,1.0
23,258,258,2017-01-27 00:00:00+00:00,2017-01-27 00:00:00+00:00,1,0.02322313032153911,0.023218956820537862,2.9612741468009838,0.007842266388569656,1.6586659822730283,1.0
24,259,280,2017-01-30 00:00:00+00:00,2017-03-01 00:00:00+00:00,22,-0.006807709831438302,0.00020285879178567968,0.6380136458618737,0.008509461432366331,24.030611345275744,-1.0
25,281,289,2017-03-02 00:00:00+00:00,2017-03-14 00:00:00+00:00,9,-0.008195014343605145,-0.00327051244928465,0.7559450349027128,0.0064912973997346725,0.914228801179536,-1.0
26,290,294,2017-03-15 00:00:00+00:00,2017-03-21 00:00:00+00:00,5,-0.0031099518780095536,-0.003808083036665224,0.7139633041360666,0.006190132078641018,0.5453551261364697,-1.0
27,295,311,2017-03-22 00:00:00+00:00,2017-04-13 00:00:00+00:00,17,0.011458796950162942,0.0025806992682171175,0.5667321186685872,0.005644149232079873,3.1372439636466605,1.0
28,312,314,2017-04-17 00:00:00+00:00,2017-04-19 00:00:00+00:00,3,0.0013847766626957636,0.002377451968617979,1.0318884063886538,0.004836838987890943,0.7143713283803184,1.0
29,315,317,2017-04-20 00:00:00+00:00,2017-04-24 00:00:00+00:00,3,0.03756924065030898,0.013857718841880315,2.527725480281868,0.004819647264514919,2.6211403124143007,1.0
30,318,333,2017-04-25 00:00:00+00:00,2017-05-16 00:00:00+00:00,16,0.033174846479205655,0.006240008567056811,0.744122332354237,0.006659964536771567,1.0068830232354518,1.0
31,334,356,2017-05-17 00:00:00+00:00,2017-06-19 00:00:00+00:00,23,0.020816018734877595,-0.0012746145207635643,0.7822384409780925,0.010530037291987317,2.788678724013425,1.0
