feature,coef_std,odds_ratio_1sd,abs_coef_std
amp_z,1.5646974657521857,4.781228231780802,1.5646974657521857
theta,-0.41165218060197,0.6625546853512083,0.41165218060197
d_theta,0.30610938146780114,1.3581308527697844,0.30610938146780114
causal_current_sign,-0.2563305308848473,0.77388613324541,0.2563305308848473
d_viscosity,-0.16392647835851065,0.8488044250808211,0.16392647835851065
d_sigma_local,-0.15382032902930434,0.8574260617455325,0.15382032902930434
d_causal_theta_so_far,0.11983905516852311,1.1273154013907343,0.11983905516852311
viscosity,0.11287114856723504,1.119487676063909,0.11287114856723504
sigma_local,0.04830309529304988,1.0494887022085273,0.04830309529304988
d_amp_z,0.020235246620608955,1.0204413671760189,0.020235246620608955
causal_theta_so_far,-0.018934492069578177,0.9812436393775071,0.018934492069578177
causal_run_length,0.013206979802844382,1.0132945771680186,0.013206979802844382
