feature,coef_std,odds_ratio_1sd,abs_coef_std
amp_z,1.6093541751040012,4.999581330878867,1.6093541751040012
viscosity,-0.35927077796193096,0.6981852725683888,0.35927077796193096
causal_current_sign,-0.3268227871137196,0.7212115396812312,0.3268227871137196
theta,-0.23770725663197675,0.7884334659815071,0.23770725663197675
causal_theta_so_far,0.2302344259793886,1.2588950930556881,0.2302344259793886
d_sigma_local,-0.12450819582362076,0.882931024989784,0.12450819582362076
d_amp_z,-0.08236925632849146,0.9209318359954328,0.08236925632849146
causal_run_length,0.08102580181444023,1.084398875664372,0.08102580181444023
d_causal_theta_so_far,0.06848278087719407,1.0708821851403645,0.06848278087719407
d_viscosity,0.05892433509559367,1.0606949803194585,0.05892433509559367
sigma_local,-0.053151566416415226,0.9482362808151285,0.053151566416415226
d_theta,-0.01065324513129245,0.9894032997111321,0.01065324513129245
