feature,coef_std,odds_ratio_1sd,abs_coef_std
causal_theta_so_far,0.3777009701843444,1.4589266150847746,0.3777009701843444
causal_run_length,0.34779839913943983,1.4159467648776867,0.34779839913943983
d_causal_theta_so_far,-0.2350988810266173,0.7904926810362696,0.2350988810266173
d_viscosity,-0.19193152144417774,0.825363386249252,0.19193152144417774
causal_current_sign,-0.19172295881559784,0.8255355441588508,0.19172295881559784
amp_z,0.1764119366042508,1.1929293687226832,0.1764119366042508
d_theta,0.14497708752768093,1.1560130828468154,0.14497708752768093
d_amp_z,0.143808795041696,1.15466331006665,0.143808795041696
d_sigma_local,-0.14141664580819813,0.8681275346381654,0.14141664580819813
theta,-0.053233343103605356,0.9481587403639538,0.053233343103605356
viscosity,0.0211853220581984,1.0214113241476597,0.0211853220581984
sigma_local,-0.009893013496325676,0.990155761385657,0.009893013496325676
