timestamp_t,timestamp_t1,p_change_raw,p_change,p_continue,actual_change,actual_continue,pred_change_label,hit_change,brier_change,q_same_given_change,q_opp_given_change,actual_same_given_change,actual_opp_given_change,expected_next_segment_theta,expected_next_segment_amp,expected_next_segment_length,expected_next_segment_net_return,actual_next_segment_theta,actual_next_segment_amp,actual_next_segment_length,actual_next_segment_net_return,brier_same_given_change,hit_same_given_change,rolling_hit_change_50,rolling_brier_change_50
2016-08-24 00:00:00+00:00,2016-08-25 00:00:00+00:00,0.06258275356619601,0.06258275356619601,0.937417246433804,0.0,1.0,0.0,1.0,0.00391660104392722,0.3309821125798659,0.6690178874201341,,,-0.0004659412790741341,0.12109797915837704,11.428965574484117,-0.0056921724633856256,,,,,,,,
2016-08-25 00:00:00+00:00,2016-08-26 00:00:00+00:00,0.5129734286335973,0.5129734286335973,0.4870265713664027,0.0,1.0,1.0,0.0,0.2631417384841083,0.4747938737092239,0.5252061262907761,,,0.001959122290995638,0.13424355680249989,12.375726335252391,0.00035093861713510373,,,,,,,,
2016-08-26 00:00:00+00:00,2016-08-29 00:00:00+00:00,0.5742142285567859,0.5742142285567859,0.42578577144321406,0.0,1.0,1.0,0.0,0.3297219802770648,0.42871920581575945,0.5712807941842406,,,0.0011821761098623736,0.130031953248908,12.072401438287084,-0.0015851640624493391,,,,,,,,
2016-08-29 00:00:00+00:00,2016-08-30 00:00:00+00:00,0.34195990887822475,0.34195990887822475,0.6580400911217752,0.0,1.0,1.0,0.0,0.11693657928000377,0.5268478443335095,0.4731521556664905,,,0.002836896033887849,0.13900171779818457,12.718414975195603,0.002538297454787947,,,,,,,,
2016-08-30 00:00:00+00:00,2016-08-31 00:00:00+00:00,0.7002282647895507,0.7002282647895507,0.2997717352104493,0.0,1.0,1.0,0.0,0.4903196228101851,0.6050392016424614,0.3949607983575386,,,0.004155418320348736,0.14614905088507735,13.233174744146204,0.005823974885089727,,,,,,,0.2,0.2408073043790578
2016-08-31 00:00:00+00:00,2016-09-01 00:00:00+00:00,0.40146209528579474,0.40146209528579474,0.5985379047142052,0.0,1.0,1.0,0.0,0.16117181395126054,0.5073359981474449,0.4926640018525551,,,0.0025078724060632216,0.13721817459556446,12.589961987804013,0.0017183905642634521,,,,,,,0.16666666666666666,0.22753472264109162
2016-09-01 00:00:00+00:00,2016-09-02 00:00:00+00:00,0.7744954108305049,0.7744954108305049,0.22550458916949512,0.0,1.0,1.0,0.0,0.5998431413975125,0.6297034884936972,0.37029651150630283,,,0.004571326331313722,0.1484035695370546,13.39554796591684,0.006860392379690713,,,,,,,0.14285714285714285,0.28072163960629465
2016-09-02 00:00:00+00:00,2016-09-06 00:00:00+00:00,0.9525129519962791,0.9525129519962791,0.047487048003720944,0.0,1.0,1.0,0.0,0.9072809237206658,0.5685862926618215,0.4314137073381785,,,0.003540721574423324,0.14281695522338725,12.993193093356991,0.004292187940488098,,,,,,,0.125,0.359041550120591
2016-09-06 00:00:00+00:00,2016-09-07 00:00:00+00:00,0.24016022657360475,0.24016022657360475,0.7598397734263953,0.0,1.0,1.0,0.0,0.05767693442788517,0.5196592064776301,0.4803407935223699,,,0.002715675741153677,0.13834461718035024,12.671089775977732,0.0022362238501010528,,,,,,,0.1111111111111111,0.3255565928214015
2016-09-07 00:00:00+00:00,2016-09-08 00:00:00+00:00,0.7969409341211985,0.7969409341211985,0.20305906587880151,1.0,0.0,1.0,1.0,0.04123298423557145,0.7317890460955184,0.2682109539044816,0.0,1.0,0.005382410504157513,0.15431823297266606,15.130447691838988,0.011623715258534095,-0.024863482647814215,0.04946836869053062,2.0,-0.04946836869053062,0.5355152079853888,0.0,0.2,0.29712423196281845
